!!!,Freedom! '15
'96 Bulls,Future
Day Ravies,Fake Beach
Day Wave,Come Home Now
De La Soul,God It {Ft. Nas}
Dead Letter Circus,Change The Concept
Dead Letter Circus,In Plain Sight
Dead Letter Circus,Show Me
Dead Letter Circus,Silence
Dead Letter Circus,While You Wait
Dead Letter Circus,X
Dead Letter Circus,Y A N A
"Dead Weather, The",I Feel Love (Every Million Miles)
"Dead Weather, The",Let Me Through
Deafcult,Akira
Deafheaven,Brought To The Water
Deafheaven,Gifts For The Earth
Deap Vally,Royal Jelly
Death Cab For Cutie,Black Sun
Death Cab For Cutie,Little Wanderer
Death Cab For Cutie,The Ghosts Of Beverly Drive
"Decemberists, The",A Beginning Song
"Decemberists, The",Cavalry Captain
"Decemberists, The",The Wrong Year
"Decemberists, The",Till The Water's All Long Gone
Deerhunter,All The Same
Deerhunter,Breaker
Deerhunter,Snakeskin
Deez Nuts,Face This On My Own
Deez Nuts,What I Gotta Do
Denai Moore,Blame
Denney,Low Frequency
DENNI,Blink {Ft. Aphir}
DENNI,Wolves {Ft. Kuren}
Denpasar,Radar (Shine Your Way) {Ft. My Own Pet Radio}
Desaparecidos,City On The Hill
Desaparecidos,The Left Is Right
Desecrator,Red Steel Nation
Destrends,My Friend
Destroy All Noise,Monkey
Destroyer,Dream Lover
Deutsch Duke,Battleground
Deutsch Duke,Harder Without You
Devotional,Wild Blue
DEX,Crazy {Ft. Sam Edwards} (Prod.Cam Bluff)
Diafrix,Wake Up
Dianas,Favourite Place
Dianas,Good Enough Girl
Dick Diver,Tearing The Posters Down
Dick Diver,Waste The Alphabet
DIET.,Your House
Digitalism,Roller
DIIV,Dopamine
Dillon Francis,Bruk Bruk (I Need Your Lovin)
Dillon Francis & Kygo,Coming Over {Ft. James Hersey}
Dillon Francis & Skrillex,Bun Up The Dance
Dilly Dally,Desire
Diplo & Sleepy Tom,Be Right There
Disclosure,Bang That
Disclosure,Holding On {Ft. Gregory Porter}
Disclosure,Hourglass {Ft. Lion Babe}
Disclosure,Jaded
Disclosure,Magnets {Ft. Lorde}
Disclosure,Masterpiece {Ft. Jordan Rakei}
Disclosure,Moving Mountains {Ft. Brendan Riley}
Disclosure,Nocturnal {Ft. The Weeknd}
Disclosure,Omen {Ft. Sam Smith}
Disclosure,Willing & Able {Ft. Kwabs}
"Districts, The",Chlorine
"Districts, The",Hounds
"Districts, The",Peaches
Dividem,All In My Head
Dizz1,Clocks
Dizz1,Get 'Em Up {Ft. Frank Nitt}
Dizzee Rascal,Nutcrackerz {Ft. Giggs}
DJ Dodger Stadium,In The Flames
DJ Snake,Middle {Ft. Bipolar Sunshine}
Django Django,First Light
Django Django,Giant
Django Django,Pause Repeat
Django Django,Reflections
Django Django,Shake And Tremble
DMA's,Lay Down
DNKL,Otherside
Doe Paoro,Growth/Decay
Doe Paoro,Nostalgia
Doe Paoro,The Wind {Ft. Adam Rhodes}
Dollar Bar,Australia Hates Me
Dom Dolla & Go Freek,Define
Domenique Dumont,L'esprit de l'escalier
Donatachi,Gold {Ft. Tashka}
Donnie Trumpet & The Social Experiment,Sunday Candy
Doom Mountain,I'm Just A Man
DOOMSTARKS,Lively Hood
Dornik,Drive
Dorsal Fins,Cut The Wire
Dorsal Fins,Mind Renovation
Dorsal Fins,Pash {triple j Like A Version}
Dorsal Fins,Sun & Stars
Dr. Colossus,Stupid Sexy Flanders
Dr. Dre,Animals {Ft. Anderson Paak}
Dr. Dre,Deep Water {Ft. Kendrick Lamar/KAL}
Dr. Dre,Genocide {Ft. Kendrick Lamar/Marsha Ambrosius/Candice Pillay}
Dr. Dre,It's All On Me {Ft. Justus/BJ The Chicago Kid}
Dr. Dre,Satisfiction {Ft. Snoop Dogg/Marsha Ambrosius/King Mez}
Dr. Dre,Talking To My Diary
Drake,6 Man
Drake,Energy
Drake,Hotline Bling
Drake,Jungle
Drake,No Tellin'
Drapht,Dancin' John Doe
Dream On Dreamer,Don't Lose Your Heart
Dream On Dreamer,Vertigo
Dreller,One Night Stand
Drenge,Running Wild
Drenge,The Woods
Drenge,We Can Do What We Want
DRINKS,Hermits On Holiday
Dro Carey,Monomiles {Ft. Chocolate/Kid Kairo}
"Drones, The",Taman Shud
Drunk Mums,Pub On My Own
Du Tonc,Animals
Du Tonc,Every Song
Duke Dumont,Ocean Drive
Duke Dumont,The Giver (Reprise)
Dusk,Evolve {Ft. Jane Tyrrell}
Dusk,Way Back Home
Dustin Tebbutt,Home
Dustin Tebbutt,Silk {Ft. Thelma Plum}
Dutch Uncles,Decided Knowledge
Dylan Joel,Ain't You
Dylan Joel,Always Fresh
Dylan Joel,Blank
Dylan Joel,Hometown Peeps
Dylan Joel,Swing {Ft. Mantra/DJ Izm}
Dylan Joel,What's Good
DZ Deathrays,Addicted To Bass {triple j Like A Version}
E^ST,Bitter Sweet Symphony {triple j Like A Version}
E^ST,Disappear
E^ST,The Alley
Eagles Of Death Metal,Complexity
Earl Sweatshirt,Faucet
Earl Sweatshirt,Grief
East India Youth,Turn Away
East Journey,Emu {Ft. Yothu Yindi}
Ecca Vandal,Battle Royal
Ecca Vandal,End Of Time
Ecca Vandal,Father Hu$$la
Eden Mulholland,The New Old Fashioned
Edward Francis,Braver
Edward Francis,Mistaken For Grandeur
Edward R.,Wolves And The Water
Edward Sharpe & The Magnetic Zeros,Hot Coals
El Guincho,Mis Hits
EL VY,I'm The Man To Be
EL VY,Return To The Moon
Elana Stone,Steely Dan
Eleanor Dunlop,Rollin' On
Elizabeth Rose,Another Earth
Elizabeth Rose,Division
Elizabeth Rose,Shoulda Coulda Woulda
Elk Road,Not To Worry {Ft. Governors}
Ella Fence,The Dust
Ella Fence,Unknown Water
Ella Thompson,I Go Over
Elliot Moss,Big Bad Wolf
Elliot Moss,I Can't Swim
Elliphant,Love Me Badder
Elvis Perkins,AM
Emma Louise,Underflow
Emmy The Great,Swimming Pool
Empress Of,How Do You Do It
Empress Of,Standard
Endless Heights,Haunt Me
Equal,Shakedown {Ft. Seja}
Errors,Lease Of Life
ESESE,Alive {Ft. Hancoq/Baro/Cazeaux OSLO}
ESESE,WONDERLAND {Ft. Hancoq/Hudson James Jr/Lostbeat}
Etienne De Crecy,WTF {Ft. P.O.S/Dave}
Evangeline,Chemicvl
Evangeline,My Kingdom
Everybody Everybody,Blackbox
Everything Everything,Distant Past
Everything Everything,Fortune 500
Everything Everything,No Reptiles
Everything Everything,Regret
Everything Everything,Spring/Sun/Winter/Dread
Everything Everything,With Every Heartbeat {triple j Like A Version}
Eves The Behavior,Electrical
Eves The Behavior,TV
Example,Whisky Story
Ezra Furman,Lousy Connection
Ezra Furman,Restless Year
Fait,Solace
Faith No More,Sunny Side Up
Faith No More,Superhero
Fake Problems,Holy Attitude
Fascinator,Dead Of The Night
Fashawn,Out The Trunk
Fashawn,Something To Believe In {Ft. Nas/Aloe Blacc}
Fat Freddy's Drop,Razor
Fat White Family,Whitest Boy On The Beach
Father Dude,Bring Us Back
Father John Misty,"I Love You, Honeybear"
Father John Misty,Strange Encounter
Favored Nations,Always
Feki,Quiet Minds {Ft. Emily}
Feki,Remember
Fekky,Way Too Much {Ft. Skepta}
Fences,Sunburns
Fever The Ghost,1518
FEWS,The Zoo
FIDLAR,40oz. On Repeat
FIDLAR,Drone
FIDLAR,Sober
FIDLAR,West Coast
Fieldings,A Pleasant Stutter
Fifth Dawn,Turbulence
Fit For An Autopsy,Absolute Hope Absolute Hell
Fit For An Autopsy,Ghosts In The River
FKA twigs,Figure 8
FKA twigs,Glass & Patron
FKA twigs,I'm Your Doll
FKA twigs,In Time
Flamingo,Lost On You
Flamingo Jones,Botanical Animal
Flight Facilities,Down To Earth {Radio Edit}
Flight Facilities,Heart Attack {Ft. Owl Eyes} {Radio Edit}
Floating Points,Silhouettes
Florence And The Machine,Caught
Florence And The Machine,Delilah
Florence And The Machine,"How Big, How Blue, How Beautiful"
Florence And The Machine,Mother
Florence And The Machine,Queen Of Peace
Florence And The Machine,Ship To Wreck
Florence And The Machine,St Jude
Florence And The Machine,Third Eye
Florence And The Machine,What Kind Of Man
Floria,Talk 2 Me
Flosstradamus,Don't Trip {Ft. Sizzy Rocket/Run The Jewels}
Flowertruck,Sunshower
Flume,Some Minds {Ft. Andrew Wyatt}
Flux Pavilion,Who Wants To Rock {Ft. Riff Raff}
Flyying Colours,Leaks
Flyying Colours,Running Late
Foals,Albatross
Foals,Birch Tree
Foals,Daffodils {triple j Like A Version}
Foals,Give It All
Foals,London Thunder
Foals,Mountain At My Gates
Foals,Night Swimmers
Foals,Snake Oil
Foals,What Went Down
Foam,Warm
Food Court,For The Morning
Food Court,On The River
Foreign Tongues,Assembly
Foreign Tongues,Fools Of Love
Foreign/National,Always Blue
Foreign/National,Pacific Cruise
Formation,Hangin
Fortunes,In My Hair
Fountaineer,Grand Old Flags
Four Year Strong,I Hold Myself In Contempt
Fox & Fowl,Eliza
Fox & Fowl,Spark
Fractures,Reactor
Frank Carter & The Rattlesnakes,Juggernaut
Fraser A. Gorman,Shiny Gun
Fraser A. Gorman,We're All Alright
Freddie Gibbs,Extradite {Ft. Black Thought}
Fresh Hex,Goddess {Ft. Rosebud Leach}
Friendships,Pedal To The Metal
FTSE,Blood On My Hands
FTSE,Brits Abroad
Full Tote Odds,Think About Me {Ft. Simplex}
Full Tote Odds,Waiting Games {Ft. Taylor Jones}
Funkoars,Below Average
Future Brown,Room 302 {Ft. Tink}
Future Islands,The Chase
Fyfe,Solace
Gabriella Cohen,I Don't Feel So Alive
Gallant,Weight In Gold
Gallows,Bonfire Season
"Game, The",El Chappo {Ft. Skrillex}
"Game, The",Magnus Carlsen {Ft. Anderson .Paak}
